Ethnicity,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,æ,ð,ə,i,œ,ß,þ,ą,ç,đ,ę,ħ,į,ł,ø,ş,ţ,ŧ,ų,á,à,â,ä,ă,ā,ã,å,ǻ,ǽ,ć,ċ,č,ď,é,è,ė,ê,ë,ě,ē,ġ,ğ,ģ,í,ì,i̇,î,ï,ī,ķ,ĺ,ļ,ľ,ń,ň,ñ,ņ,ṋ,ó,ò,ȯ,ȱ,ô,ö,ō,õ,ő,ǿ,ŕ,ř,ŗ,ś,š,ș,ť,ț,ú,ù,û,ü,ū,ű,ů,ẃ,ẁ,ŵ,ẅ,ý,ỳ,ŷ,ÿ,ź,ż,ž,ı,'
alb,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,,,,,,,ç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ang,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azr,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,ə,ı,,,,,ç,,,,,,,ş,,,,,,,ä,,,,,,,,,,,,,,,,,,,ğ,,,,i̇,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
bsq,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ñ,,,,,,,,,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,,,
bul,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scm,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,đ,,,,,,,,ŧ,,,,,,,,,,,,ć,,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,š,,,,,,,,,,,,,,,,,,,,,ž,,
cze,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,č,ď,é,,,,,ě,,,,,í,,,,,,,,,,,ň,,,,ó,,,,,,,,,,,ř,,,š,,ť,,ú,,,,,,ů,,,,,ý,,,,,,ž,,
dan,a,b,,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,y,,æ,,,,,,,,,,,,,,ø,,,,,,,,,,,,å,ǻ,ǽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ó,,,,,,,,,ǿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
