Ethnicity,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,æ,ð,ə,i,œ,ß,þ,ą,ç,đ,ę,ħ,į,ł,ø,ş,ţ,ŧ,ų,á,à,â,ä,ă,ā,ã,å,ǻ,ǽ,ć,ċ,č,ď,é,è,ė,ê,ë,ě,ē,ġ,ğ,ģ,í,ì,i̇,î,ï,ī,ķ,ĺ,ļ,ľ,ń,ň,ñ,ņ,ṋ,ó,ò,ȯ,ȱ,ô,ö,ō,õ,ő,ǿ,ŕ,ř,ŗ,ś,š,ș,ť,ț,ú,ù,û,ü,ū,ű,ů,ẃ,ẁ,ŵ,ẅ,ý,ỳ,ŷ,ÿ,ź,ż,ž
alb,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,,,,,,,ç,,,,,,,,,,,,,â,,,,,,,,,,,,,,,ê,ë,,,,,,,,,î,,,,,,,,,,,,,,ô,,,,,,,,,,,,,,,,,,û,,,,,,,,,,,ŷ,,,,
ang,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,à,â,ä,,,,å,,,,,,,é,è,,ê,ë,,,,,,,,,î,ï,,,,,,,,,,,ó,,,,ô,ö,,,,,,,,,,,,,,,û,ü,,,,,,,,,,,,,,
arm,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azr,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,,x,y,z,,,ə,ı,,,,,ç,,,,,,,ş,,,,,,,ä,,,,,,,,,,,,,,,,,,,ğ,,,,i̇,,,,,,,,,,,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,
bos,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsq,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ñ,,,,,,,,,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,
bul,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cro,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,đ,,,,,,,,ŧ,,,,,,,,,,,,ć,,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,š,,,,,,,,,,,,,,,,,,,,,ž
cze,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,č,ď,é,,,,,ě,,,,,í,,,,,,,,,,,ň,,,,ó,,,,,,,,,,,ř,,,š,,ť,,ú,,,ü,,,ů,,,,,ý,,,,,,ž
dan,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,æ,,,,,,,,,,,,,,ø,,,,,á,,,,,,,å,ǻ,ǽ,,,,,é,,,,,,,,,,í,,,,,,,,,,,,,,,ó,,,,,,,,,ǿ,,,,,,,,,ú,,,,,,,,,,,ý,,,,,,
dch,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,á,à,â,ä,,,,,,,,,,,é,è,,ê,ë,,,,,,í,ì,,î,ï,,,,,,,,,,,ó,ò,,,ô,ö,,,,,,,,,,,,,ú,ù,û,ü,,,,,,,,,,,,,,
est,a,b,,d,e,f,g,h,i,j,k,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,,,,,,,,,,,,,,ä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,õ,,,,,,,š,,,,,,,ü,,,,,,,,,,,,,,ž
fin,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,ä,,,,å,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ö,,,,,,,,,š,,,,,,,,,,,,,,,,,,,,,ž
fre,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,æ,,,,œ,,,,ç,,,,,,,,,,,,à,â,,,,,,,,,,,,é,è,,ê,ë,,,,,,,,,î,ï,,,,,,,,,,,,,,,ô,,,,,,,,,,,,,,,ù,û,ü,,,,,,,,,,,ÿ,,,
gae,a,b,c,d,e,f,g,h,i,,,l,m,n,o,p,,r,s,t,u,v,,,,z,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,,,é,,,,,,,,,,í,,,,,,,,,,,,,,,ó,,,,,,,,,,,,,,,,,,ú,,,,,,,,,,,,,,,,,
geo,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ger,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,ß,,,,,,,,,,,,,,á,à,â,ä,,,,,,,,,,,é,è,,ê,,,,,,,,,,,,,,,,,,,ñ,,,,,,,,ö,,,,,,,,,,,,,,,,ü,,,,,,,,,,,,,,
gre,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
